,precision,recall,f1-score,support
37,0.5368793791908385,0.5179908410263866,0.5272660007399186,13757.0
35,0.7005560928433269,0.8387610363294253,0.7634543178973717,13818.0
31,0.5813299800281085,0.5528277996623523,0.5667207499549306,14216.0
36,0.6091758708581139,0.5441186616074508,0.5748123314627214,14495.0
34,0.552732502396932,0.5528460853483115,0.5527892880380808,14599.0
accuracy,0.6000282147139734,0.6000282147139734,0.6000282147139734,0.6000282147139734
macro avg,0.596134765063464,0.6013088847947853,0.5970085376186047,70885.0
weighted avg,0.5957489843704339,0.6000282147139734,0.5961993070306034,70885.0
