,precision,recall,f1-score,support
37,0.8590945089757128,0.9429875398435236,0.8990882718607542,13804.0
41,0.841577013907111,0.8883733813447822,0.8643422604008759,14441.0
45,0.7846929656581131,0.8911845730027548,0.8345553292600135,13794.0
35,0.8789011141097501,0.9196958725561187,0.8988358515268391,13810.0
39,0.8091427821866597,0.8755233837201051,0.8410252914309088,14091.0
43,0.8759902887809865,0.9618379515959312,0.9169090848296386,14255.0
31,0.6196904247660188,0.4844519487828901,0.5437889915501856,14214.0
32,0.6174515761488796,0.4567354965585054,0.5250706499798142,14238.0
33,0.6398337843061461,0.4778435334872979,0.5470996529499257,13856.0
36,0.7917729383297365,0.843634589924047,0.8168814519937926,14351.0
40,0.8281651997291808,0.864024864024864,0.8457150758806651,14157.0
44,0.768955223880597,0.7737478411053541,0.771344088033836,13317.0
34,0.8474912725032514,0.8443701834549546,0.845927849139109,14663.0
38,0.7876258611552729,0.8154447568753858,0.8012939313272905,14581.0
42,0.7962441314553991,0.8536094334196146,0.8239294885141231,13908.0
accuracy,0.7929071306979384,0.7929071306979384,0.7929071306979384,0.7929071306979384
macro avg,0.7831086057261878,0.7928976899797421,0.7850538179118515,211480.0
weighted avg,0.7832435386602796,0.7929071306979384,0.7851320866465396,211480.0
