,precision,recall,f1-score,support
31,0.3156456588805641,0.2519347122555227,0.2802144058844243,14214.0
32,0.16657331690377505,0.10443882567776373,0.12838333693071444,14238.0
33,0.36466715435259694,0.2878175519630485,0.32171668280090354,13856.0
34,0.40797955746559034,0.47909704698902,0.4406875352863685,14663.0
35,0.5376760947908704,0.7130340333091962,0.6130618851948699,13810.0
36,0.4378633150039277,0.38840498919935895,0.4116539271075662,14351.0
37,0.3470973640103611,0.33004926108374383,0.33835870776086147,13804.0
38,0.26687782805429866,0.20224950277758727,0.23011197378174864,14581.0
39,0.4526026663093723,0.47945497125824993,0.4656420153008478,14091.0
40,0.5350025879917184,0.5840926750017659,0.5584709418160942,14157.0
41,0.40040829838887665,0.5025275257946126,0.44569322892676183,14441.0
42,0.3794957983193277,0.40588150704630427,0.3922454226453115,13908.0
43,0.35072683879366456,0.4535952297439495,0.39558288213881504,14255.0
44,0.44816171291731227,0.4778103176391079,0.4625113574413956,13317.0
45,0.46695438774646697,0.4000289981151225,0.4309085939635313,13794.0
accuracy,0.40325799129941364,0.40325799129941364,0.40325799129941364,0.40325799129941364
macro avg,0.3918488386619149,0.4040278098569569,0.39434952646534766,211480.0
weighted avg,0.391081807269223,0.40325799129941364,0.39356858583508786,211480.0
