,precision,recall,f1-score,support
37,0.8537613261220762,0.883550192629207,0.8684003715081803,13757.0
35,0.9254157447719649,0.9383412939643943,0.9318336986596716,13818.0
31,0.8091618458226826,0.8461592571750141,0.827247094422667,14216.0
36,0.8116883116883117,0.793377026560883,0.8024282175627115,14495.0
34,0.877306476512534,0.8174532502226179,0.8463229558187363,14599.0
accuracy,0.8546801156803273,0.8546801156803273,0.8546801156803273,0.8546801156803273
macro avg,0.8554667409835138,0.8557762041104233,0.8552464675943933,70885.0
weighted avg,0.8550307322206988,0.8546801156803273,0.854475171034764,70885.0
