,precision,recall,f1-score,support
32,0.8553595090313132,0.8525649937439177,0.8539599651871193,14386.0
38,0.7882379248658319,0.7316820037362485,0.7589077469589867,14453.0
39,0.7858000885123602,0.8882933104631218,0.8339092220470327,13992.0
40,0.8563932838230546,0.7460618846694796,0.7974293445580277,14220.0
41,0.7901250483434318,0.8498925327601747,0.8189197314360157,14423.0
accuracy,0.813386686067661,0.813386686067661,0.813386686067661,0.813386686067661
macro avg,0.8151831709151983,0.8136989450745885,0.8126252020374365,71474.0
weighted avg,0.8152112031185667,0.813386686067661,0.8124960702770101,71474.0
