,precision,recall,f1-score,support
45,0.783752417794971,0.8740921837923348,0.8264608899615868,13907.0
43,0.8671145448438025,0.9280937657294888,0.8965684912475688,13907.0
33,0.8445620789220404,0.7537041013528022,0.7965505503233858,13971.0
44,0.7982315725283939,0.7783558792924038,0.7881684416513004,13454.0
42,0.8526636225266362,0.8070301807966578,0.8292195537135033,13883.0
accuracy,0.8285205867885768,0.8285205867885768,0.8285205867885768,0.8285205867885768
macro avg,0.8292648473231689,0.8282552221927375,0.8273935853794689,69122.0
weighted avg,0.8294742672719475,0.8285205867885768,0.8276214609129497,69122.0
