,precision,recall,f1-score,support
31,0.5967184801381693,0.5347544674264809,0.5640397744137725,14214.0
32,0.5647655470568673,0.47710352577609216,0.5172466306251428,14238.0
33,0.6355534259702923,0.47863741339491916,0.5460458606068093,13856.0
34,0.8625775327360441,0.8535770306212916,0.8580536797723922,14663.0
35,0.8782262013009723,0.9091962346125996,0.8934429145764402,13810.0
36,0.8102273493894623,0.8368754790606926,0.8233358469870431,14351.0
37,0.8508153815180189,0.918429440741814,0.8833304302386343,13804.0
38,0.7883275850409143,0.7994650572663055,0.7938572596022883,14581.0
39,0.8030393921215757,0.855013838620396,0.8282120024747371,14091.0
40,0.8450449195626436,0.8571024934661299,0.8510310001402722,14157.0
41,0.8437794216543376,0.8688456478083235,0.8561290982907441,14441.0
42,0.8258980900503344,0.861230946218004,0.8431945373270916,13908.0
43,0.8858192794802808,0.946965976850228,0.9153726181596258,14255.0
44,0.766173887587822,0.7861380190733649,0.7760275749601571,13317.0
45,0.7937088037590551,0.8816876903001305,0.8353882611532781,13794.0
accuracy,0.7909967845659164,0.7909967845659164,0.7909967845659164,0.7909967845659164
macro avg,0.7833783531577859,0.7910015507491182,0.7856471659552287,211480.0
weighted avg,0.7835335565427376,0.7909967845659164,0.7857365683492191,211480.0
