,precision,recall,f1-score,support
3,0.4573574598839194,0.46266491676452304,0.4599958794038871,14477.0
21,0.3717892135228176,0.3105736617018139,0.33843557912498495,13562.0
24,0.3978406226022142,0.5217797584818862,0.45145842403134523,13912.0
27,0.3922055741013896,0.38626806330759234,0.3892141756548536,13079.0
30,0.4976055073331338,0.4696327683615819,0.4832146490335707,14160.0
48,0.5467991169977925,0.549021056520133,0.5479078341013824,13535.0
66,0.49907120743034056,0.42233700127255036,0.4575089198832306,13359.0
69,0.49290713069793834,0.5164827905133118,0.5044196399767727,15137.0
accuracy,0.45640661385889353,0.45640661385889353,0.45640661385889353,0.45640661385889353
macro avg,0.4569469790711933,0.4548450021154241,0.45401938765125344,111221.0
weighted avg,0.4576746498924568,0.45640661385889353,0.45518345622376244,111221.0
