31,6,0.22141574
31,58,0.19746952
31,7,0.12221086
31,31,0.12177397
31,57,0.11488752
31,47,0.11379007
31,27,0.10629263
31,13,0.1045486
32,58,0.16273431
32,6,0.1597002
32,27,0.14963299
32,26,0.113642104
32,8,0.10962981
32,7,0.100074425
32,28,0.094538145
32,46,0.08608716
33,6,0.21671645
33,43,0.20718738
33,58,0.20686997
33,42,0.13990973
33,44,0.13631387
33,7,0.1320905
33,52,0.1284948
33,45,0.12486899
34,58,0.78027683
34,57,0.5323417
34,56,0.43719506
34,55,0.31822088
34,18,0.23538792
34,19,0.22740678
34,39,0.21747527
34,26,0.19531749
35,58,0.55684024
35,57,0.42653832
35,42,0.3672963
35,56,0.35398838
35,34,0.34045434
35,43,0.27984163
35,40,0.2761008
35,6,0.25928134
36,49,0.39625388
36,48,0.39400023
36,50,0.3434687
36,52,0.33488706
36,6,0.31869927
36,46,0.30076933
36,47,0.28590366
36,53,0.24102014
37,58,0.67111665
37,45,0.43660083
37,47,0.36712503
37,46,0.33121988
37,57,0.3124515
37,44,0.28129557
37,56,0.27678844
37,48,0.26272744
38,6,0.43517253
38,43,0.395759
38,58,0.36589316
38,44,0.28597486
38,18,0.26250932
38,17,0.24880382
38,42,0.24110201
38,21,0.1949208
39,58,0.40622553
39,6,0.3771269
39,40,0.25267583
39,37,0.23994786
39,38,0.21083131
39,24,0.19598177
39,51,0.1959369
39,39,0.19526868
40,47,0.6765677
40,24,0.39317697
40,23,0.39314625
40,58,0.38292655
40,6,0.35249442
40,7,0.25181523
40,22,0.22753672
40,52,0.22265257
41,58,0.85561794
41,57,0.5488044
41,24,0.3936144
41,45,0.37573996
41,56,0.3055812
41,43,0.29516536
41,46,0.27731356
41,47,0.27222905
42,58,0.45330292
42,37,0.3322684
42,13,0.32379448
42,57,0.29197356
42,38,0.27038327
42,36,0.25647476
42,39,0.2342695
42,15,0.21336117
43,47,0.4518997
43,49,0.409812
43,48,0.37583804
43,46,0.27536023
43,29,0.275159
43,37,0.2676384
43,50,0.25586137
43,31,0.24886528
44,58,0.40972853
44,42,0.28441793
44,41,0.26367298
44,43,0.23253596
44,40,0.21804765
44,9,0.20100184
44,49,0.19295152
44,6,0.1924861
45,58,0.5426986
45,42,0.45467278
45,57,0.33694497
45,40,0.32661927
45,41,0.326478
45,52,0.25124922
45,56,0.22332096
45,30,0.21731111
